
🍎官方提示,#genre#
宁夏卫视,http://rqd.mytvh.top:10513/stream/channelid/662095845?ticket=2ee8f6d86f76ff09ee687222558ae80891db1f27&profile=pass
海南卫视,http://rqd.mytvh.top:10513/stream/channelid/2066631233?ticket=6e97e3864c6d181874c5c545c54bccb447b30e68&profile=pass
河北卫视,http://rqd.mytvh.top:10513/stream/channelid/325198784?ticket=b60ddb2ec922f3d4ad5babade35aed7b7aeddf14&profile=pass
辽宁卫视,http://rqd.mytvh.top:10513/stream/channelid/2128463719?ticket=f0d34df16cf27c44c50f8095ac00cf08ba181bf6&profile=pass
CCTV4K,http://rqd.mytvh.top:10513/stream/channelid/1344771213?ticket=6487666e5fe4cef71a9b31ecf6a364fa0926f0bb&profile=pass

广东有线,#genre#
CHC高清电影,http://rqd.mytvh.top:10503/stream/channelid/1951817503?ticket=2004ea18fd30f8652174200ffdae3f512b776f31&profile=pass
CCTV1高清,http://rqd.mytvh.top:10503/stream/channelid/1785807370?ticket=8e2b8ba518201eb749989235c30bb68640e99c3b&profile=pass
CCTV2高清,http://rqd.mytvh.top:10503/stream/channelid/500260714?ticket=d0048af1d45a3a3d4ad14197427d18eec355854d&profile=pass
CCTV3高清,http://rqd.mytvh.top:10503/stream/channelid/1602863726?ticket=690e959c059ac7cb80ccd9cca51467e07107eb3b&profile=pass
CCTV4高清,http://rqd.mytvh.top:10503/stream/channelid/198000067?ticket=d9ca97b7bdf31f825e015a56d6a4a114161824ae&profile=pass
CCTV5+高清,http://rqd.mytvh.top:10503/stream/channelid/1384688818?ticket=98bcb736954dec2d6e14674a76c2a87082212fe7&profile=pass
CCTV5高清,http://rqd.mytvh.top:10503/stream/channelid/121785270?ticket=c96ae522d7f2c0c3beb96cc8719efea8a8c636fd&profile=pass
CCTV7高清,http://rqd.mytvh.top:10503/stream/channelid/1724146864?ticket=ff9404207f3f3aa80d961066774b0958b689c358&profile=pass
CCTV9高清,http://rqd.mytvh.top:10503/stream/channelid/1474280575?ticket=1fcd9e11ace8a09e31a94be5a7802466ebaedb96&profile=pass
CCTV6高清,http://rqd.mytvh.top:10503/stream/channelid/771160749?ticket=34c30641c7daa6c2e9d1595e6df5c3f59049dc73&profile=pass
CCTV10高清,http://rqd.mytvh.top:10503/stream/channelid/1690582056?ticket=8f599ad0e9608e2b7b3f4678da5c4b97246c4770&profile=pass
CCTV8高清,http://rqd.mytvh.top:10503/stream/channelid/951202597?ticket=5904e7ab76027d4513189e4e5e20f442ec00de12&profile=pass
CCTV11高清,http://rqd.mytvh.top:10503/stream/channelid/1868391806?ticket=94f6d2d2bd3da6c5898d2725f22a51adcf0a6f04&profile=pass
CCTV12高清,http://rqd.mytvh.top:10503/stream/channelid/1542690663?ticket=b2117812e50a371dd37dab76d19639cb1101ed33&profile=pass
CCTV13高清,http://rqd.mytvh.top:10503/stream/channelid/1706956450?ticket=e91126d5c58f9008b967b6e81e2d0b66856934f2&profile=pass
CCTV14高清,http://rqd.mytvh.top:10503/stream/channelid/137129742?ticket=160fd9d5ce473b07ed9d375f566b6f0c6fdb90e9&profile=pass
CCTV15高清,http://rqd.mytvh.top:10503/stream/channelid/962507949?ticket=b55f978ff80bca95b65de3ee3e6304b8371564d7&profile=pass
CCTV16高清,http://rqd.mytvh.top:10503/stream/channelid/242476076?ticket=36b68d6e1d46077984a6130a10c92f49bc04ef31&profile=pass
CCTV17高清,http://rqd.mytvh.top:10503/stream/channelid/1385454019?ticket=96a84ae8d1a8cf116e48bbb9dbacc904aec64df7&profile=pass
IPTV5+高清,http://rqd.mytvh.top:10503/stream/channelid/562696147?ticket=29f4c39b85a3d2c70aa0b8b368ea6813ed52ef83&profile=pass
东方卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1336025173?ticket=8c9245fad038c9da1eadcba03eec7206ec7dd47e&profile=pass
北京卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1634186220?ticket=6ced0d1da1e4802e2dacc78076034c979a54beb4&profile=pass
江苏卫视高清,http://rqd.mytvh.top:10503/stream/channelid/131667651?ticket=0fd2ab2e43434210082d1a161c651903848c5fe6&profile=pass
湖南卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1387214421?ticket=6a7a24112c6182c41076ed5cba1220ad6b7b4d53&profile=pass
浙江卫视高清,http://rqd.mytvh.top:10503/stream/channelid/542145537?ticket=2852d95287534c7da9a74e3f9f80cd239a9bc973&profile=pass
深圳卫视高清,http://rqd.mytvh.top:10503/stream/channelid/408381163?ticket=18a41e5bc4b59d35c5f8111fe386be6ab0873e8d&profile=pass
深圳都市频道高清,http://rqd.mytvh.top:10503/stream/channelid/1320053499?ticket=1dd41b538f136f95c1196af6eb9adb405f9b70c2&profile=pass
深圳娱乐频道高清,http://rqd.mytvh.top:10503/stream/channelid/1229958904?ticket=2cd906be67d8ae1434a5495853ba85026e6c4417&profile=pass
深圳电视剧频道高清,http://rqd.mytvh.top:10503/stream/channelid/435488330?ticket=031c87f13768aa1cd273d7f1a65b68c210456dbe&profile=pass
深圳财经生活高清,http://rqd.mytvh.top:10503/stream/channelid/186746216?ticket=06d95e14b39570796db2cad7d5f0ee8d32dd6423&profile=pass
深圳体育健康高清,http://rqd.mytvh.top:10503/stream/channelid/711074338?ticket=c3ca38037fd87b653fd919a175959b069655cc5e&profile=pass
深圳公共频道高清,http://rqd.mytvh.top:10503/stream/channelid/229709193?ticket=11015a8b95b64d86429bc790a44f08702fb22cb6&profile=pass
深圳少儿频道高清,http://rqd.mytvh.top:10503/stream/channelid/425722594?ticket=52bf31d2518889f5ff7adef4628ee4f1b2b568db&profile=pass
广东公共高清,http://rqd.mytvh.top:10503/stream/channelid/1750520918?ticket=13dd90b64478114f229b9d5e1cea6addcbc49ea8&profile=pass
广东卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1719732180?ticket=719b6514b241a40f5cac6c60f18767155cb7ac3a&profile=pass
广东少儿高清,http://rqd.mytvh.top:10503/stream/channelid/920625775?ticket=1af5679e9ed5ff6517c4455305ade4c2a03154e8&profile=pass
广东影视高清,http://rqd.mytvh.top:10503/stream/channelid/197893312?ticket=8e27ee41dc56ca149760002ddeba8ef11ec3ec51&profile=pass
广东新闻高清,http://rqd.mytvh.top:10503/stream/channelid/957092437?ticket=991cbfb1037dafb46b1148aeec359326d6a75ccf&profile=pass
黑龙江卫视高清,http://rqd.mytvh.top:10503/stream/channelid/599215222?ticket=20fb7d4341a1963ced3e921576959a119b1b048a&profile=pass
IPTV经典电影,http://rqd.mytvh.top:10503/stream/channelid/1197664829?ticket=1f004f9d82d1f3c045aff8c03bfbeaca385eb117&profile=pass
高尔夫网球高清,http://rqd.mytvh.top:10503/stream/channelid/944705626?ticket=fec133f645ff39db36a05150a5d4cca5ee9f012a&profile=pass
南方卫视高清,http://rqd.mytvh.top:10503/stream/channelid/630802067?ticket=3b7b37ec76d48cf60be86293a75ee1b3b09d419b&profile=pass
吉林卫视高清,http://rqd.mytvh.top:10503/stream/channelid/486067493?ticket=09080e2ad9518c1cbaaf22c641dc02013e104623&profile=pass
四川卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1103000629?ticket=18455300c80bdcc8da352759527dde2595a88c40&profile=pass
天津卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1766610418?ticket=013bb106c62d04d5baa1b006751b6c438ac52edf&profile=pass
上海纪实高清,http://rqd.mytvh.top:10503/stream/channelid/902411573?ticket=49ebce21fe478bde856845dd7eb06adc51452d94&profile=pass
湖北卫视高清,http://rqd.mytvh.top:10503/stream/channelid/663603537?ticket=587b0a4d3bb543e530f47b33c6a035483e639eeb&profile=pass
辽宁卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1339181351?ticket=2988746445df0b7b578dbd3d39c03ce6e1a03bb5&profile=pass
嘉佳卡通高清,http://rqd.mytvh.top:10503/stream/channelid/398924874?ticket=c480c3cc7fd713e46cb28651f8281776be7289ef&profile=pass
重庆卫视高清,http://rqd.mytvh.top:10503/stream/channelid/676127231?ticket=9f749a3edc28b8c39b2df0232edf2d06fee17fae&profile=pass
山东卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1928373358?ticket=910d882f6f0518a0e87a1307544283aa8d4c3784&profile=pass
江西卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1206803371?ticket=b815f4efd7215d5f19cadf6079d19ff24e7e9e2a&profile=pass
安徽卫视高清,http://rqd.mytvh.top:10503/stream/channelid/681506126?ticket=1f7dbbecb51884e1993e4fc191648fd0b8cdf898&profile=pass
南方卫视（上星）,http://rqd.mytvh.top:10503/stream/channelid/14746408?ticket=0a5e8c4d44bc493bad479e1cf5fafa5f136c2876&profile=pass
河南卫视高清,http://rqd.mytvh.top:10503/stream/channelid/289309686?ticket=befe0dfe422bbe5541195e5a1a4cb7789c496d42&profile=pass
金鹰纪实高清,http://rqd.mytvh.top:10503/stream/channelid/959223780?ticket=1f8ba5665a79b20758e26d9850e256798f01f617&profile=pass
贵州卫视高清,http://rqd.mytvh.top:10503/stream/channelid/2075850019?ticket=8d35bfb278e0d9968d61438196dc614019d9e8fe&profile=pass
河北卫视高清,http://rqd.mytvh.top:10503/stream/channelid/2022415456?ticket=b4ab027e4c51938760e9b17edd32648dd9ddc213&profile=pass
广西卫视高清,http://rqd.mytvh.top:10503/stream/channelid/1316514033?ticket=1da66a5f2197f9032a5915cc546bb672487d8d62&profile=pass
深圳体育健康高清,http://rqd.mytvh.top:10503/stream/channelid/1156007789?ticket=0cdd6d3220efb2de69c2ec890d50ac8bde67157f&profile=pass
深圳电视剧频道高清,http://rqd.mytvh.top:10503/stream/channelid/92315836?ticket=7df666b30d29e41a315f017237ccc13eedd9c1b3&profile=pass

重庆有线2,#genre#
CCTV1,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv1
CCTV2,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv2
CCTV3,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv3
CCTV4,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv4
CCTV5,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv5
CCTV5+,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv5p
CCTV6,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv6
CCTV7,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv7
CCTV8,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv8
CCTV9,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv9
CCTV10,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv10
CCTV11,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv11
CCTV12,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv12
CCTV13,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv13
CCTV14,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv14
CCTV15,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv15
CCTV16,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv16
CCTV16,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv16_4k
CCTV17,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cctv17
CCTV兵器科技,http://us06.clashcloud.tech:22222/php/cqtv.php?id=bqkj
CCTV第一剧场,http://us06.clashcloud.tech:22222/php/cqtv.php?id=dyjc
CCTV怀旧剧场,http://us06.clashcloud.tech:22222/php/cqtv.php?id=hjjc
CCTV风云剧场,http://us06.clashcloud.tech:22222/php/cqtv.php?id=fyjc
CCTV风云音乐,http://us06.clashcloud.tech:22222/php/cqtv.php?id=fyyy
CCTV风云足球,http://us06.clashcloud.tech:22222/php/cqtv.php?id=fyzq
CCTV央视文化精品,http://us06.clashcloud.tech:22222/php/cqtv.php?id=whjp
CCTV女性时尚,http://us06.clashcloud.tech:22222/php/cqtv.php?id=nxss
CCTV高尔夫网球,http://us06.clashcloud.tech:22222/php/cqtv.php?id=gefwq
CCTV央视台球,http://us06.clashcloud.tech:22222/php/cqtv.php?id=ystq
中央新影-中学生,http://us06.clashcloud.tech:22222/php/cqtv.php?id=zxs
中央新影-发现之旅,http://us06.clashcloud.tech:22222/php/cqtv.php?id=fxzl
中央新影-老故事,http://us06.clashcloud.tech:22222/php/cqtv.php?id=lgs
重温经典,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cwjd
书画,http://us06.clashcloud.tech:22222/php/cqtv.php?id=sh
中国天气,http://us06.clashcloud.tech:22222/php/cqtv.php?id=zgtq
CGTN,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cgtn
CETV1中教1台,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cetv1
CETV4中教4台,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cetv4
CETV早期教育,http://us06.clashcloud.tech:22222/php/cqtv.php?id=zqjy
CHC影迷电影,http://us06.clashcloud.tech:22222/php/cqtv.php?id=chcgq
CHC动作电影,http://us06.clashcloud.tech:22222/php/cqtv.php?id=chcdz
CHC家庭影院,http://us06.clashcloud.tech:22222/php/cqtv.php?id=chcjt
北京卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=bjws
东方卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=dfws
天津卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=tjws
重庆卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=cqws
黑龙江卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=hljws
吉林卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=jlws
辽宁卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=lnws
内蒙古卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=nmws
宁夏卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=nxws
青海卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=qhws
河北卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=hbws
山西卫视x,http://us06.clashcloud.tech:22222/php/cqtv.php?id=sxiws
安徽卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=ahws
河南卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=hnws
湖北卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=hubws
湖南卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=hunws
江西卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=jxws
江苏卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=jsws
浙江卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=zjws
东南卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=dnws
广东卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=gdws
深圳卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=szws
广西卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=gxws
云南卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=ynws
贵州卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=gzws
四川卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=scws
新疆卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=xjws
兵团卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=btws
西藏卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=xzws
海南卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=hinws
三沙卫视,http://us06.clashcloud.tech:22222/php/cqtv.php?id=ssws

黑龙江移动V6,#genre#
CCTV1[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
CCTV1[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226005/index.m3u8
CCTV1[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225766/index.m3u8
CCTV1[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225769/index.m3u8
CCTV1[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226013/index.m3u8
CCTV1[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226003/index.m3u8
CCTV1[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226006/index.m3u8
CCTV2[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225746/index.m3u8
CCTV2[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226024/index.m3u8
CCTV3[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225754/index.m3u8
CCTV3[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225785/index.m3u8
CCTV3[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225753/index.m3u8
CCTV5[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/index.m3u8
CCTV5+[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225752/index.m3u8
CCTV5+[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8
CCTV5+[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225751/index.m3u8
CCTV6[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225786/index.m3u8
CCTV6[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225593/index.m3u8
CCTV7[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226027/index.m3u8
CCTV8[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225787/index.m3u8
CCTV8[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225595/index.m3u8
CCTV9[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225596/index.m3u8
CCTV10[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV12[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV11[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225598/index.m3u8
CCTV13[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225600/index.m3u8
CCTV14[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV17[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CGTN[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
湖南卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
江苏卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225644/index.m3u8
浙江卫视[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225643/index.m3u8
浙江卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
江西卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225615/index.m3u8
四川卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225621/index.m3u8
东南卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
重庆卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
辽宁卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
河北卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225623/index.m3u8
广西卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225622/index.m3u8
山西卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
贵州卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
青海卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
湖北卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225705/index.m3u8
湖北卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
安徽卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225727/index.m3u8
安徽卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225631/index.m3u8
内蒙古卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
新疆卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
甘肃卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
西藏卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
吉林卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225637/index.m3u8
云南卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225636/index.m3u8
海南卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
黑龙江卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225640/index.m3u8
黑龙江卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225658/index.m3u8
东方卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225700/index.m3u8
东方卫视[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225647/index.m3u8
山东卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225737/index.m3u8
山东卫视[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225650/index.m3u8
深圳卫视[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225645/index.m3u8
深圳卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
天津卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225648/index.m3u8
天津卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
北京卫视[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225651/index.m3u8
北京卫视[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225749/index.m3u8
北京卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视[1280*720],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225701/index.m3u8
广东卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225736/index.m3u8
广东卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225641/index.m3u8
广东卫视[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225699/index.m3u8
康巴卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
兵团卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226030/index.m3u8
安多卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
CETV1[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
金鹰卡通[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
KAKU少儿[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
优漫卡通[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
山东教育[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
哈哈炫动[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓电影[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225667/index.m3u8
黑莓动画[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓电影[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
黑莓动画[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225744/index.m3u8
电视剧[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
电影轮播[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
Newtv古装[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
Newtv惊悚[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
Newtv动作[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
Newtv综艺[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
Newtv军事[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
Newtv爱情[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
Newtv精品大剧[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
Newtv记录[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
Newtv体育[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
Newtv军旅[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
Newtv农业[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
Newtv潮妈[1920*1080],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
